address,referral_code,signed_build_and_earn,signed,total_points,total_ref_points,total_build_points,total_extra_points,total_pendle_points
0xa72fdf794b3e2737976c36ec42362dcb9473b374,pox8p0,false,true,72.99877304957462,0.0,0.0,0.0,0.0
0x9b0dec8f04501565357917a275ea829352a1fd01,1naduz,false,true,327.5913341576077,0.0,0.0,0.0,0.0
0xe94d0307df44edbdcafbc8a1babc265c971bb0de,1t0r1z,false,true,37.15526492700688,0.0,0.0,0.0,0.0
0x0be49b801b6efdb8c0622df98fe31c9c6b3cb179,ombx4x,false,true,105.06257557688,0.0,0.0,0.0,0.0
0x8d2c992f804a1851090d65391829eb2b4874f132,m8cgmn,false,true,22.728086503981242,0.0,0.0,0.0,0.0
0x6ab8ad8f93b5c8f135cb02902f6fcfd0c0793c18,zal2od,false,true,201.44302856210885,0.0,0.0,0.0,0.0
0x07fd3498a1f41e5969cfd257095bea7389fa3b98,iz9yro,false,true,10.701620197917,0.0,0.0,0.0,0.0
0x6628d47afa61304866fb084390476550bc2b2f80,rsl6dl,false,true,0.9365631240783694,0.0,0.0,0.0,0.0
0x44e29d523c702c364a36657e3dc049af623e5fb7,016zr1,false,true,49.273108258008,0.0,0.0,0.0,0.0
0xe1839ff0983942f01532e3835a246ae170c6b4df,atwc38,false,true,11417.15776629002,0.0,0.0,0.0,0.0
0x7370da46b16335c2448be657ea219269fba454e4,o9pafd,false,true,360.94285318022037,0.0,0.0,0.0,0.0
0xc4f9effad59a27e19301dfa33814968fc72e3a5a,wmb52w,false,true,119.72924148382079,0.0,0.0,0.0,0.0
0xe6759c58fc03877713585ba32b8a3d099f996175,fpge7o,false,true,44.035224541494024,0.0,0.0,0.0,0.0
0xa658107a37b1523748e5c07a176bcddb16343f9a,bcx56v,false,true,686.7171649842945,77.84172383946,0.0,0.0,0.0
0x33c683e1007cbd8ce0d321a38266868947b12b20,oswm7i,false,true,4.092380378855664,0.0,0.0,0.0,0.0
0x4269ff828fc4cc57f4d76b0e42da1ef74b2e7e90,dmppv7,false,true,25.095533218389683,0.0,0.0,0.0,0.0
0xc83c3b46d8e622b9c7b540872c6af8636ddc1d17,l5drwt,false,true,434.70745435141,1.2646073122504475,0.0,0.0,0.0
0x8e32736429d2f0a39179214c826deef5b8a37861,4kdj92,false,true,1203.9357469905715,0.0,0.0,0.0,0.0
0xa7690900926392a2e8aad849ae0ce6421c8a64e8,yzj0io,false,true,359.55579914658,0.0,0.0,0.0,0.0
0x86eda219691b4710e94532a64d8055346426c198,zwo0v4,false,true,175.19689237400303,0.0,0.0,0.0,0.0
0x2d08d22383b87555dac9099b02b9fcea9863b6fe,w2av0e,false,true,513.5798029118813,0.0,0.0,0.0,0.0
0x83df00654a2673d40e4bcbb4b3a3b7a0c520744c,plddyj,false,true,15.799258368158926,0.0,0.0,0.0,0.0
0x98bd3c6103fe26975edbad1565f4b9d86cf61939,,false,false,149.04730954152933,0.0,0.0,0.0,0.0
0x65dd4debb049b0a8fe26f91392fdcbaeee26ecf3,r8im0m,false,true,99.02235999465788,0.0,0.0,0.0,0.0
0x8d5ab09062fa6553f655a4eca782bb106e1de799,dm3oo3,false,true,6685.944706872126,2329.6392962757654,0.0,0.0,0.0
0xf90c725e4287d071fee42fab9715c43bcaff0ad8,uz7lr5,false,true,1014.084752602155,0.0,0.0,0.0,0.0
